Test #,Case Number,Offense Code,Offense Class,Offense Desc,Outcome T/F,Parameter Test,Test Notes
1,00CR000001,0930,??,,TRUE,Find_Class = None,"With the presence of only 'predicted' classes, will it extract the highest predicted case? If so and if both are the same, will it extract the lowest code?"
1,00CR000001,0950,,,FALSE,Find_Class = None,"With the presence of only 'predicted' classes, will it extract the highest predicted case? If so and if both are the same, will it extract the lowest code?"
2,00CR000002,0930,,,TRUE,Find_Class = None,"With the presence of only 'predicted' classes, will it extract the highest predicted case? If so and if both are different, will it extract the more serious class?"
2,00CR000002,1170,,,FALSE,Find_Class = None,"With the presence of only 'predicted' classes, will it extract the highest predicted case? If so and if both are different, will it extract the more serious class?"
3,00CR000003,1377,,,TRUE,Find_Class = None,"With the presence of only 'predicted' classes, will it extract the highest predicted case? If so, if both are different, and not 'A' class, will it extract the more serious class?"
3,00CR000003,2320,,,FALSE,Find_Class = None,"With the presence of only 'predicted' classes, will it extract the highest predicted case? If so, if both are different, and not 'A' class, will it extract the more serious class?"
4,00CR000004,1306,,,TRUE,Find_Class = None,"With the presence of 'predicted' and solid class, will it extract the highest case? If so and both are the same class, will it choose the more serious code?"
4,00CR000004,1348,,,FALSE,Find_Class = None,"With the presence of 'predicted' and solid class, will it extract the highest case? If so and both are the same class, will it choose the more serious code?"
5,00CR000005,1153,,,TRUE,Find_Class = None,"With the presence of 'predicted' and solid class, will it extract the highest case? If so and both are the same class, will it choose the more serious code?"
5,00CR000005,1306,,,FALSE,Find_Class = None,"With the presence of 'predicted' and solid class, will it extract the highest case? If so and both are the same class, will it choose the more serious code?"
6,00CR000006,1127,,,TRUE,Find_Class = None,"With solid classes, will the predicted seriousness of codes be overridden by class order?"
6,00CR000006,1023,,,FALSE,Find_Class = None,"With solid classes, will the predicted seriousness of codes be overridden by class order?"
7,00CR000007,1127,Felony - B2,,TRUE,Find_Class = None,"With impartial data, will the predicted seriousness of codes be overridden by class order?"
7,00CR000007,1023,,,FALSE,Find_Class = None,"With impartial data, will the predicted seriousness of codes be overridden by class order?"
8,00CR000008,0923,,,TRUE,Find_Class = B2,"With the presence of 'predicted' and solid classes, will it extract the predicted case wanted? If so, if both are the same, will it extract the lowest code?"
8,00CR000008,0930,,,FALSE,Find_Class = B2,"With the presence of only 'predicted' classes, will it extract the predicted case wanted? If so, if both are the same, will it extract the lowest code? Find_Class = B2"
9,00CR000009,0910,,,FALSE,Find_Class = B2,"With the presence of solid classes, will it exclude the values unwanted in the search?"
9,00CR000009,5714,Misdemeanor,,FALSE,Find_Class = B2,"With the presence of 'predicted' and solid classes, will it exclude the values unwanted in the search?"
10,00CR000010,0921,,,TRUE,"Find_Class = ['C', 'D']",With the presence of solid classes and list of Find_Class parameters. Will it recognize both values and select the highest class.
10,00CR000010,0915,,,FALSE,"Find_Class = ['C', 'D']",With the presence of solid classes and list of Find_Class parameters. Will it recognize both values and select the highest class.
11,00CR000011,0921,,,TRUE,"Find_Class = ['C', 'D']","With the presence of 'predicted' and solid classes, and a list of Find_Class parameters. Will it recognize both values that are the same and select the more serious code."
11,00CR000011,1020,,,FALSE,"Find_Class = ['C', 'D']","With the presence of 'predicted' and solid classes, and a list of Find_Class parameters. Will it recognize both values that are the same and select the more serious code."
12,00CR000012,1032,Blank,,TRUE,"Find_Class = ['C', 'D']","With the presence of 'predicted' and solid classes, and a list of Find_Class parameters. Will it recognize both values that are the same and select the more serious code."
12,00CR000012,1102,,,FALSE,"Find_Class = ['C', 'D']","With the presence of 'predicted' and solid classes, and a list of Find_Class parameters. Will it recognize both values that are the same and select the more serious code."
